Temperature (K);Pressure (MPa);Density (kg/m3);Volume (m3/kg);Internal Energy (kJ/kg);Enthalpy (kJ/kg);Entropy (J/g*K);Cv (J/g*K);Cp (J/g*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (Pa*s);Therm. Cond. (W/m*K);Phase
237.200000000;8.00000000000;1120.03604659;0.000892828407663;114.925736296;122.068363557;0.678009602051;0.955145345930;1.95731027588;876.177021707;-0.0927895086563;0.000193727398381;0.158384636003;liquid
237.250000000;8.00000000000;1119.84794797;0.000892978374263;115.022406607;122.166233601;0.678422164151;0.955084746418;1.95749154726;875.836889154;-0.0925448215128;0.000193577010358;0.158325959430;liquid
237.300000000;8.00000000000;1119.65979032;0.000893128438339;115.119085211;122.264112718;0.678834677552;0.955024192018;1.95767320153;875.496733058;-0.0922997793940;0.000193426751896;0.158267287175;liquid
237.350000000;8.00000000000;1119.47157356;0.000893278600029;115.215772127;122.362000927;0.679247142356;0.954963682757;1.95785523926;875.156553299;-0.0920543816907;0.000193276622839;0.158208619230;liquid
237.400000000;8.00000000000;1119.28329760;0.000893428859470;115.312467373;122.459898248;0.679659558664;0.954903218662;1.95803766102;874.816349757;-0.0918086277924;0.000193126623038;0.158149955586;liquid
237.450000000;8.00000000000;1119.09496237;0.000893579216801;115.409170965;122.557804700;0.680071926577;0.954842799758;1.95822046739;874.476122313;-0.0915625170868;0.000192976752338;0.158091296234;liquid
237.500000000;8.00000000000;1118.90656778;0.000893729672160;115.505882924;122.655720301;0.680484246197;0.954782426073;1.95840365894;874.135870846;-0.0913160489604;0.000192827010589;0.158032641165;liquid
237.550000000;8.00000000000;1118.71811375;0.000893880225684;115.602603267;122.753645072;0.680896517626;0.954722097634;1.95858723624;873.795595236;-0.0910692227979;0.000192677397638;0.157973990371;liquid
237.600000000;8.00000000000;1118.52960021;0.000894030877513;115.699332011;122.851579031;0.681308740963;0.954661814468;1.95877119988;873.455295363;-0.0908220379827;0.000192527913334;0.157915343844;liquid
237.650000000;8.00000000000;1118.34102706;0.000894181627787;115.796069176;122.949522199;0.681720916313;0.954601576601;1.95895555042;873.114971107;-0.0905744938965;0.000192378557524;0.157856701574;liquid
237.700000000;8.00000000000;1118.15239423;0.000894332476643;115.892814780;123.047474593;0.682133043775;0.954541384061;1.95914028846;872.774622347;-0.0903265899196;0.000192229330058;0.157798063554;liquid
237.750000000;8.00000000000;1117.96370164;0.000894483424222;115.989568840;123.145436234;0.682545123451;0.954481236875;1.95932541456;872.434248962;-0.0900783254308;0.000192080230785;0.157739429773;liquid
237.800000000;8.00000000000;1117.77494920;0.000894634470663;116.086331376;123.243407141;0.682957155445;0.954421135071;1.95951092933;872.093850831;-0.0898296998072;0.000191931259552;0.157680800225;liquid
237.850000000;8.00000000000;1117.58613683;0.000894785616107;116.183102405;123.341387333;0.683369139856;0.954361078675;1.95969683333;871.753427834;-0.0895807124243;0.000191782416209;0.157622174900;liquid
237.900000000;8.00000000000;1117.39726446;0.000894936860694;116.279881945;123.439376831;0.683781076788;0.954301067714;1.95988312717;871.412979849;-0.0893313626565;0.000191633700605;0.157563553789;liquid
237.950000000;8.00000000000;1117.20833198;0.000895088204565;116.376670016;123.537375653;0.684192966341;0.954241102218;1.96006981142;871.072506754;-0.0890816498761;0.000191485112590;0.157504936884;liquid
238.000000000;8.00000000000;1117.01933933;0.000895239647861;116.473466636;123.635383818;0.684604808619;0.954181182212;1.96025688668;870.732008429;-0.0888315734541;0.000191336652012;0.157446324176;liquid
238.050000000;8.00000000000;1116.83028643;0.000895391190723;116.570271822;123.733401348;0.685016603723;0.954121307726;1.96044435353;870.391484751;-0.0885811327601;0.000191188318723;0.157387715657;liquid
238.100000000;8.00000000000;1116.64117318;0.000895542833293;116.667085594;123.831428260;0.685428351754;0.954061478785;1.96063221258;870.050935599;-0.0883303271617;0.000191040112570;0.157329111317;liquid
238.150000000;8.00000000000;1116.45199950;0.000895694575713;116.763907970;123.929464576;0.685840052817;0.954001695419;1.96082046441;869.710360850;-0.0880791560253;0.000190892033404;0.157270511149;liquid
238.200000000;8.00000000000;1116.26276532;0.000895846418125;116.860738968;124.027510313;0.686251707012;0.953941957656;1.96100910963;869.369760384;-0.0878276187156;0.000190744081076;0.157211915143;liquid
238.250000000;8.00000000000;1116.07347055;0.000895998360672;116.957578608;124.125565493;0.686663314442;0.953882265522;1.96119814882;869.029134076;-0.0875757145957;0.000190596255434;0.157153323291;liquid
238.300000000;8.00000000000;1115.88411510;0.000896150403496;117.054426907;124.223630135;0.687074875209;0.953822619047;1.96138758260;868.688481805;-0.0873234430271;0.000190448556331;0.157094735583;liquid
238.350000000;8.00000000000;1115.69469889;0.000896302546740;117.151283884;124.321704258;0.687486389416;0.953763018258;1.96157741156;868.347803449;-0.0870708033697;0.000190300983615;0.157036152012;liquid
238.400000000;8.00000000000;1115.50522184;0.000896454790548;117.248149558;124.419787883;0.687897857166;0.953703463184;1.96176763630;868.007098884;-0.0868177949819;0.000190153537139;0.156977572569;liquid
238.450000000;8.00000000000;1115.31568386;0.000896607135064;117.345023948;124.517881028;0.688309278560;0.953643953853;1.96195825744;867.666367987;-0.0865644172204;0.000190006216751;0.156918997245;liquid
238.500000000;8.00000000000;1115.12608487;0.000896759580431;117.441907071;124.615983715;0.688720653701;0.953584490293;1.96214927556;867.325610635;-0.0863106694403;0.000189859022305;0.156860426031;liquid
238.550000000;8.00000000000;1114.93642479;0.000896912126795;117.538798948;124.714095962;0.689131982693;0.953525072534;1.96234069130;866.984826706;-0.0860565509952;0.000189711953649;0.156801858918;liquid
238.600000000;8.00000000000;1114.74670353;0.000897064774299;117.635699596;124.812217791;0.689543265637;0.953465700603;1.96253250524;866.644016074;-0.0858020612368;0.000189565010637;0.156743295898;liquid
238.650000000;8.00000000000;1114.55692100;0.000897217523088;117.732609035;124.910349220;0.689954502637;0.953406374529;1.96272471801;866.303178618;-0.0855471995156;0.000189418193118;0.156684736962;liquid
238.700000000;8.00000000000;1114.36707712;0.000897370373308;117.829527283;125.008490269;0.690365693795;0.953347094342;1.96291733022;865.962314212;-0.0852919651800;0.000189271500945;0.156626182101;liquid
238.750000000;8.00000000000;1114.17717181;0.000897523325104;117.926454358;125.106640959;0.690776839215;0.953287860070;1.96311034247;865.621422733;-0.0850363575771;0.000189124933970;0.156567631306;liquid
238.800000000;8.00000000000;1113.98720498;0.000897676378622;118.023390281;125.204801310;0.691187938999;0.953228671742;1.96330375540;865.280504057;-0.0847803760523;0.000188978492043;0.156509084570;liquid
238.850000000;8.00000000000;1113.79717655;0.000897829534009;118.120335069;125.302971341;0.691598993251;0.953169529387;1.96349756961;864.939558059;-0.0845240199493;0.000188832175017;0.156450541882;liquid
238.900000000;8.00000000000;1113.60708642;0.000897982791410;118.217288742;125.401151074;0.692010002073;0.953110433035;1.96369178573;864.598584615;-0.0842672886101;0.000188685982745;0.156392003234;liquid
238.950000000;8.00000000000;1113.41693452;0.000898136150972;118.314251319;125.499340527;0.692420965569;0.953051382714;1.96388640438;864.257583600;-0.0840101813752;0.000188539915077;0.156333468618;liquid
239.000000000;8.00000000000;1113.22672076;0.000898289612843;118.411222818;125.597539721;0.692831883842;0.952992378455;1.96408142617;863.916554888;-0.0837526975833;0.000188393971868;0.156274938024;liquid
